,index,Data,Anno,Mese,Giorno,GGSettimana,GGSettimanaDsc,GGDelMese,Stagione,FlgWeekend
0,0,2015-01-01,2015,1,1,3,GIO,31,Inverno,False
1,1,2015-01-02,2015,1,2,4,VEN,31,Inverno,False
2,2,2015-01-03,2015,1,3,5,SAB,31,Inverno,True
3,3,2015-01-04,2015,1,4,6,DOM,31,Inverno,True
4,4,2015-01-05,2015,1,5,0,LUN,31,Inverno,False
5,5,2015-01-06,2015,1,6,1,MAR,31,Inverno,False
6,6,2015-01-07,2015,1,7,2,MER,31,Inverno,False
7,7,2015-01-08,2015,1,8,3,GIO,31,Inverno,False
8,8,2015-01-09,2015,1,9,4,VEN,31,Inverno,False
9,9,2015-01-10,2015,1,10,5,SAB,31,Inverno,True
10,10,2015-01-11,2015,1,11,6,DOM,31,Inverno,True
11,11,2015-01-12,2015,1,12,0,LUN,31,Inverno,False
12,12,2015-01-13,2015,1,13,1,MAR,31,Inverno,False
13,13,2015-01-14,2015,1,14,2,MER,31,Inverno,False
14,14,2015-01-15,2015,1,15,3,GIO,31,Inverno,False
15,15,2015-01-16,2015,1,16,4,VEN,31,Inverno,False
16,16,2015-01-17,2015,1,17,5,SAB,31,Inverno,True
17,17,2015-01-18,2015,1,18,6,DOM,31,Inverno,True
18,18,2015-01-19,2015,1,19,0,LUN,31,Inverno,False
19,19,2015-01-20,2015,1,20,1,MAR,31,Inverno,False
20,20,2015-01-21,2015,1,21,2,MER,31,Inverno,False
21,21,2015-01-22,2015,1,22,3,GIO,31,Inverno,False
22,22,2015-01-23,2015,1,23,4,VEN,31,Inverno,False
23,23,2015-01-24,2015,1,24,5,SAB,31,Inverno,True
24,24,2015-01-25,2015,1,25,6,DOM,31,Inverno,True
25,25,2015-01-26,2015,1,26,0,LUN,31,Inverno,False
26,26,2015-01-27,2015,1,27,1,MAR,31,Inverno,False
27,27,2015-01-28,2015,1,28,2,MER,31,Inverno,False
28,28,2015-01-29,2015,1,29,3,GIO,31,Inverno,False
29,29,2015-01-30,2015,1,30,4,VEN,31,Inverno,False
30,30,2015-01-31,2015,1,31,5,SAB,31,Inverno,True
31,31,2015-02-01,2015,2,1,6,DOM,28,Inverno,True
32,32,2015-02-02,2015,2,2,0,LUN,28,Inverno,False
33,33,2015-02-03,2015,2,3,1,MAR,28,Inverno,False
34,34,2015-02-04,2015,2,4,2,MER,28,Inverno,False
35,35,2015-02-05,2015,2,5,3,GIO,28,Inverno,False
36,36,2015-02-06,2015,2,6,4,VEN,28,Inverno,False
37,37,2015-02-07,2015,2,7,5,SAB,28,Inverno,True
38,38,2015-02-08,2015,2,8,6,DOM,28,Inverno,True
39,39,2015-02-09,2015,2,9,0,LUN,28,Inverno,False
40,40,2015-02-10,2015,2,10,1,MAR,28,Inverno,False
41,41,2015-02-11,2015,2,11,2,MER,28,Inverno,False
42,42,2015-02-12,2015,2,12,3,GIO,28,Inverno,False
43,43,2015-02-13,2015,2,13,4,VEN,28,Inverno,False
44,44,2015-02-14,2015,2,14,5,SAB,28,Inverno,True
45,45,2015-02-15,2015,2,15,6,DOM,28,Inverno,True
