,row_num,valoreArray
0,0,1
1,1,2
2,2,1
3,3,1
4,4,1
5,5,2
6,6,1
7,7,1
8,8,2
9,9,1
10,10,1
11,11,1
12,12,2
13,13,2
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,2
22,22,2
23,23,1
24,24,1
25,25,2
26,26,1
27,27,1
28,28,1
29,29,2
30,30,78
31,31,1
32,32,2
33,33,1
34,34,56
35,35,1
36,36,2
37,37,1
38,38,1
39,39,25
40,40,25
41,41,2
42,42,20
43,43,1
44,44,2
45,45,1
46,46,1
47,47,23
48,48,2
49,49,1
50,50,1
51,51,1
52,52,2
53,53,1
54,54,1
55,55,1
56,56,2
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,2
63,63,1
64,64,2
65,65,2
66,66,1
67,67,1
68,68,1
69,69,13
70,70,11
71,71,1
72,72,1
73,73,2
74,74,1
75,75,1
76,76,1
77,77,11
78,78,2
79,79,1
80,80,1
81,81,2
82,82,2
83,83,1
84,84,2
85,85,1
86,86,1
87,87,1
88,88,2
89,89,1
90,90,1
91,91,1
92,92,2
93,93,12
94,94,1
95,95,2
96,96,1
97,97,1
98,98,25
99,99,2
100,100,1
101,101,2
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,2
111,111,2
112,112,2
113,113,2
114,114,2
115,115,2
116,116,1
117,117,2
118,118,1
119,119,2
120,120,1
121,121,1
122,122,1
123,123,25
124,124,1
125,125,1
126,126,1
127,127,2
128,128,14
129,129,7
130,130,13
131,131,2
132,132,1
133,133,2
134,134,2
135,135,33
136,136,1
137,137,1
138,138,1
139,139,1
140,140,1
141,141,68
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,2
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,2
154,154,1
155,155,2
156,156,2
157,157,1
158,158,2
159,159,1
160,160,7
161,161,1
162,162,7
163,163,1
164,164,1
165,165,1
166,166,2
167,167,1
168,168,1
169,169,1
170,170,2
171,171,2
172,172,1
173,173,2
174,174,1
175,175,1
176,176,56
177,177,25
178,178,8
179,179,2
180,180,1
181,181,2
182,182,1
183,183,2
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,2
192,192,14
193,193,1
194,194,1
195,195,1
196,196,1
197,197,11
198,198,2
199,199,1
200,200,1
201,201,1
202,202,1
203,203,1
204,204,1
205,205,2
206,206,1
207,207,2
208,208,14
209,209,1
210,210,1
211,211,11
212,212,4
213,213,1
214,214,2
215,215,1
216,216,2
217,217,1
218,218,2
219,219,2
220,220,2
221,221,1
222,222,1
223,223,2
224,224,1
225,225,2
226,226,1
227,227,2
228,228,1
229,229,2
230,230,1
231,231,1
232,232,1
233,233,1
234,234,1
235,235,2
236,236,1
237,237,2
238,238,14
239,239,1
240,240,1
241,241,46
242,242,1
243,243,1
244,244,1
245,245,1
246,246,1
247,247,1
248,248,1
249,249,1
250,250,1
251,251,1
252,252,7
253,253,18
254,254,13
255,255,1
256,256,2
257,257,1
258,258,26
259,259,1
260,260,2
261,261,1
262,262,1
263,263,1
264,264,2
265,265,1
266,266,1
267,267,1
268,268,1
269,269,1
270,270,2
271,271,2
272,272,1
273,273,1
274,274,1
275,275,180
276,276,2
277,277,1
278,278,2
279,279,1
280,280,1
281,281,1
282,282,39
283,283,2
284,284,2
285,285,25
286,286,1
287,287,1
288,288,2
289,289,1
290,290,1
291,291,2
292,292,1
293,293,2
294,294,1
295,295,2
296,296,1
297,297,2
298,298,7
299,299,25
300,300,1
301,301,1
302,302,1
303,303,1
304,304,1
305,305,12
306,306,2
307,307,2
308,308,1
309,309,1
310,310,1
311,311,2
312,312,1
313,313,1
314,314,1
315,315,1
316,316,1
317,317,1
318,318,1
319,319,1
320,320,1
321,321,40
322,322,1
323,323,1
324,324,1
325,325,1
326,326,1
327,327,2
328,328,1
329,329,1
330,330,1
331,331,1
332,332,4
333,333,2
334,334,1
335,335,1
336,336,1
337,337,2
338,338,1
339,339,1
340,340,2
341,341,1
342,342,1
343,343,2
344,344,2
345,345,2
346,346,2
347,347,1
348,348,1
349,349,2
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,2
358,358,1
359,359,2
360,360,13
361,361,1
362,362,1
363,363,1
364,364,1
365,365,1
366,366,1
367,367,1
368,368,1
369,369,1
370,370,1
371,371,2
372,372,1
373,373,1
374,374,2
375,375,1
376,376,2
377,377,1
378,378,2
379,379,1
380,380,2
381,381,1
382,382,1
383,383,2
384,384,11
385,385,2
386,386,1
387,387,1
388,388,1
389,389,1
390,390,2
391,391,7
392,392,1
393,393,25
394,394,46
395,395,2
396,396,1
397,397,25
398,398,1
399,399,1
400,400,1
401,401,1
402,402,6
403,403,2
404,404,1
405,405,1
406,406,1
407,407,1
408,408,1
409,409,2
410,410,1
411,411,1
412,412,6
413,413,1
414,414,1
415,415,1
416,416,1
417,417,1
418,418,11
419,419,1
420,420,1
421,421,1
422,422,1
423,423,1
424,424,2
425,425,2
426,426,1
427,427,1
428,428,1
429,429,1
430,430,1
431,431,2
432,432,2
433,433,13
434,434,1
435,435,2
436,436,1
437,437,7
438,438,2
439,439,2
440,440,1
441,441,1
442,442,2
443,443,2
444,444,1
445,445,1
446,446,1
447,447,1
448,448,1
449,449,1
450,450,1
451,451,2
452,452,1
453,453,2
454,454,1
455,455,1
456,456,1
457,457,1
458,458,55
459,459,1
460,460,2
461,461,40
462,462,2
463,463,1
464,464,1
465,465,1
466,466,2
467,467,2
468,468,2
469,469,1
470,470,20
471,471,2
472,472,2
473,473,1
474,474,1
475,475,1
476,476,1
477,477,1
478,478,1
479,479,1
480,480,46
481,481,1
482,482,1
483,483,1
484,484,1
485,485,2
486,486,1
487,487,1
488,488,2
489,489,1
490,490,1
491,491,2
492,492,1
493,493,1
494,494,1
495,495,1
496,496,1
497,497,1
498,498,2
499,499,1
500,500,7
501,501,1
502,502,2
503,503,1
504,504,1
505,505,1
506,506,1
507,507,2
508,508,1
509,509,1
510,510,1
511,511,2
512,512,1
513,513,1
514,514,1
515,515,2
516,516,2
517,517,1
518,518,1
519,519,1
520,520,1
521,521,2
522,522,1
523,523,1
524,524,2
525,525,1
526,526,2
527,527,4
528,528,1
529,529,1
530,530,1
531,531,1
532,532,1
533,533,1
534,534,2
535,535,2
536,536,2
537,537,56
538,538,2
539,539,1
540,540,1
541,541,2
542,542,1
543,543,1
544,544,1
545,545,11
546,546,1
547,547,1
548,548,1
549,549,2
550,550,1
551,551,1
552,552,1
553,553,1
554,554,2
555,555,1
556,556,4
557,557,2
558,558,2
559,559,7
560,560,56
561,561,1
562,562,1
563,563,10
564,564,2
565,565,1
566,566,1
567,567,1
568,568,25
569,569,1
570,570,2
571,571,1
572,572,8
573,573,15
574,574,1
575,575,2
576,576,6
577,577,26
578,578,1
579,579,7
580,580,1
581,581,1
582,582,1
583,583,1
584,584,1
585,585,1
586,586,1
587,587,1
588,588,10
589,589,1
590,590,26
591,591,1
592,592,1
593,593,1
594,594,1
595,595,20
596,596,1
597,597,1
598,598,2
599,599,1
600,600,1
601,601,1
602,602,2
603,603,2
604,604,1
605,605,2
606,606,1
607,607,2
608,608,1
609,609,1
610,610,1
611,611,1
612,612,25
613,613,1
614,614,7
615,615,1
616,616,2
617,617,40
618,618,2
619,619,1
620,620,1
621,621,1
622,622,10
623,623,1
624,624,2
625,625,2
626,626,1
627,627,2
628,628,1
629,629,1
630,630,1
631,631,1
632,632,2
633,633,2
634,634,1
635,635,1
636,636,1
637,637,2
638,638,1
639,639,2
640,640,1
641,641,1
642,642,2
643,643,1
644,644,1
645,645,1
646,646,11
647,647,1
648,648,25
649,649,2
650,650,1
651,651,1
652,652,1
653,653,1
654,654,1
655,655,1
656,656,2
657,657,2
658,658,1
659,659,1
660,660,1
661,661,1
662,662,1
663,663,2
664,664,2
665,665,1
666,666,1
667,667,1
668,668,2
669,669,1
670,670,1
671,671,1
672,672,1
673,673,46
674,674,1
675,675,1
676,676,1
677,677,1
678,678,2
679,679,1
680,680,2
681,681,1
682,682,1
683,683,1
684,684,1
685,685,2
686,686,1
687,687,1
688,688,2
689,689,1
690,690,1
691,691,1
692,692,1
693,693,11
694,694,2
695,695,2
696,696,2
697,697,2
698,698,2
699,699,1
700,700,1
701,701,1
702,702,1
703,703,1
704,704,2
705,705,2
706,706,2
707,707,2
708,708,1
709,709,2
710,710,1
711,711,2
712,712,2
713,713,1
714,714,1
715,715,2
716,716,2
717,717,1
718,718,2
719,719,1
720,720,1
721,721,1
722,722,1
723,723,1
724,724,12
725,725,2
726,726,1
727,727,1
728,728,2
729,729,1
730,730,1
731,731,1
732,732,1
733,733,39
734,734,1
735,735,1
736,736,2
737,737,1
738,738,1
739,739,1
740,740,2
741,741,1
742,742,1
743,743,2
744,744,1
745,745,1
746,746,7
747,747,1
748,748,2
749,749,2
750,750,1
751,751,1
752,752,1
753,753,1
754,754,1
755,755,1
756,756,1
757,757,2
758,758,1
759,759,11
760,760,1
761,761,1
762,762,1
763,763,18
764,764,1
765,765,1
766,766,1
767,767,56
768,768,2
769,769,1
770,770,2
771,771,1
772,772,1
773,773,2
774,774,1
775,775,1
776,776,5
