,COD_RIP,COD_REG,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
0,1,01,001,001001,1001,Agliè,,TO,2574.0,2001,"13,1462",2010,2622,2009,2010
1,1,01,001,001002,1002,Airasca,,TO,3554.0,2001,"15,7393",2010,3786,2009,2010
2,1,01,001,001003,1003,Ala di Stura,,TO,479.0,2001,"46,3315",2010,457,2009,2010
3,1,01,001,001004,1004,Albiano d'Ivrea,,TO,1696.0,2001,"11,7314",2010,1734,2009,2010
4,1,01,001,001005,1005,Alice Superiore,,TO,616.0,2001,"7,3796",2010,711,2009,2010
5,1,01,001,001006,1006,Almese,,TO,5658.0,2001,"17,8756",2010,6314,2009,2010
6,1,01,001,001007,1007,Alpette,,TO,300.0,2001,"5,6261",2010,267,2009,2010
7,1,01,001,001008,1008,Alpignano,,TO,16648.0,2001,"11,9193",2010,17054,2009,2010
8,1,01,001,001009,1009,Andezeno,,TO,1705.0,2001,"7,486",2010,2002,2009,2010
9,1,01,001,001010,1010,Andrate,,TO,476.0,2001,"9,3085",2010,519,2009,2010
10,1,01,001,001011,1011,Angrogna,,TO,777.0,2001,"38,8782",2010,888,2009,2010
11,1,01,001,001012,1012,Arignano,,TO,898.0,2001,"8,1668",2010,1028,2009,2010
12,1,01,001,001013,1013,Avigliana,,TO,11070.0,2001,"23,2172",2010,12105,2009,2010
13,1,01,001,001014,1014,Azeglio,,TO,1274.0,2001,"9,9605",2010,1364,2009,2010
14,1,01,001,001015,1015,Bairo,,TO,788.0,2001,"7,0859",2010,823,2009,2010
15,1,01,001,001016,1016,Balangero,,TO,3048.0,2001,"13,0063",2010,3148,2009,2010
16,1,01,001,001017,1017,Baldissero Canavese,,TO,513.0,2001,"4,5064",2010,518,2009,2010
17,1,01,001,001018,1018,Baldissero Torinese,,TO,3244.0,2001,"15,4054",2010,3737,2009,2010
