,COD_RIP,COD_REG,COD_UTS,COD_PROV_STORICO,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,COM_ISO,COM_LIT,ZONA_ALT,ZONE_COST_2011,DEGURBA_2011,COD_ECO_DIV_2018,DEN_ECO_DIV_2018,COD_ECO_PRO_2018,DEN_ECO_PRO_2018,COD_ECO_SEZ_2018,DEN_ECO_SEZ_2018,COD_ECO_SSEZ_2018,DEN_ECO_SSEZ_2018,anno_riferimento
0,1,01,201,001,001001,1001,Agliè,,TO,0,0,3,0,2,1,Divisione Temperata,1B,Provincia Padana,1B1,Sezione Padana,1B1c,Sottosezione Bacino Occidentale del Po,2018
1,1,01,201,001,001002,1002,Airasca,,TO,0,0,5,0,3,1,Divisione Temperata,1B,Provincia Padana,1B1,Sezione Padana,1B1c,Sottosezione Bacino Occidentale del Po,2018
2,1,01,201,001,001003,1003,Ala di Stura,,TO,0,0,1,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
3,1,01,201,001,001004,1004,Albiano d'Ivrea,,TO,0,0,3,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
4,1,01,201,001,001005,1005,Alice Superiore,,TO,0,0,3,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
5,1,01,201,001,001006,1006,Almese,,TO,0,0,3,0,2,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
6,1,01,201,001,001007,1007,Alpette,,TO,0,0,1,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
7,1,01,201,001,001008,1008,Alpignano,,TO,0,0,3,0,2,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
8,1,01,201,001,001009,1009,Andezeno,,TO,0,0,3,0,3,1,Divisione Temperata,1B,Provincia Padana,1B1,Sezione Padana,1B1c,Sottosezione Bacino Occidentale del Po,2018
9,1,01,201,001,001010,1010,Andrate,,TO,0,0,1,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
10,1,01,201,001,001011,1011,Angrogna,,TO,0,0,1,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
11,1,01,201,001,001012,1012,Arignano,,TO,0,0,3,0,3,1,Divisione Temperata,1B,Provincia Padana,1B1,Sezione Padana,1B1c,Sottosezione Bacino Occidentale del Po,2018
12,1,01,201,001,001013,1013,Avigliana,,TO,0,0,3,0,2,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
13,1,01,201,001,001014,1014,Azeglio,,TO,0,0,3,0,3,1,Divisione Temperata,1A,Provincia Alpina,1A1,Sezione Alpina Occidentale,1A1b,Sottosezione Alpi Nord-Occidentali,2018
