,COD_RIP,COD_REG,COD_PROV_STORICO,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
0,1,01,001,201,001001,1001,Agliè,,TO,2562,2021,"13,1463",2023,2568,2022,2023
1,1,01,001,201,001002,1002,Airasca,,TO,3660,2021,"15,7393",2023,3669,2022,2023
2,1,01,001,201,001003,1003,Ala di Stura,,TO,467,2021,"46,3316",2023,464,2022,2023
3,1,01,001,201,001004,1004,Albiano d'Ivrea,,TO,1637,2021,"11,7397",2023,1628,2022,2023
4,1,01,001,201,001006,1006,Almese,,TO,6331,2021,"17,8741",2023,6292,2022,2023
5,1,01,001,201,001007,1007,Alpette,,TO,240,2021,"5,6311",2023,252,2022,2023
6,1,01,001,201,001008,1008,Alpignano,,TO,16501,2021,"11,9193",2023,16478,2022,2023
7,1,01,001,201,001009,1009,Andezeno,,TO,2036,2021,"7,4859",2023,2017,2022,2023
8,1,01,001,201,001010,1010,Andrate,,TO,474,2021,"9,309",2023,483,2022,2023
9,1,01,001,201,001011,1011,Angrogna,,TO,827,2021,"38,8781",2023,809,2022,2023
10,1,01,001,201,001012,1012,Arignano,,TO,1072,2021,"8,1666",2023,1087,2022,2023
11,1,01,001,201,001013,1013,Avigliana,,TO,12350,2021,"23,2173",2023,12367,2022,2023
12,1,01,001,201,001014,1014,Azeglio,,TO,1240,2021,"9,9528",2023,1227,2022,2023
13,1,01,001,201,001015,1015,Bairo,,TO,790,2021,"7,0859",2023,794,2022,2023
14,1,01,001,201,001016,1016,Balangero,,TO,3064,2021,"13,0065",2023,3057,2022,2023
15,1,01,001,201,001017,1017,Baldissero Canavese,,TO,530,2021,"4,5064",2023,514,2022,2023
16,1,01,001,201,001018,1018,Baldissero Torinese,,TO,3755,2021,"15,4046",2023,3777,2022,2023
17,1,01,001,201,001019,1019,Balme,,TO,105,2021,"62,7105",2023,104,2022,2023
